Chou vert, cru;25,3;106;91,8;2,53;0,99;0,41;0,99;0;3,08;0,054;0,014;0;0,065;96,2;-;0,049;0,93;0,3;18;0,17;32,7;231;1,86;25,8;0,22;0;321;0;0,16;121;-;69;0,059;0,039;0,26;0,17;0,15;67,9;0
Haricot vert, surgel‚, cru;34;142;89,4;1,97;4,35;0,17;1,96;1,53;3,68;0,049;0,0053;0;0,013;51,5;-;0,063;0,85;0,8;22;0,29;40,8;186;0,3;3,86;0,31;0;292;0;0,24;38,4;-;18;0,099;0,092;0,5;0,077;0,068;39,5;0
Petits pois, crus;67,3;283;79,2;5,84;7;0,55;5,67;-;5,5;0,1;0,042;0;0,0088;27,5;37,5;0,14;1,64;0,15;30,5;0,4;119;272;1,02;3,5;1;0;449;0;0,075;47,4;-;41,5;0,29;0,13;2,15;0,43;0,16;45;0
Asperge, pel‚e, crue;23,5;98,8;93,3;2,04;2,4;0,21;1,88;-;1,95;0,051;0,005;0;0,011;22;-;0,12;1,32;0,15;11,5;0,16;52;202;1;4,2;0,49;0;449;0;0,72;40,3;-;8,8;0,13;0,12;0,99;0,17;0,076;101;0
Chou-fleur, surgel‚, cru;25,9;109;92,5;2,09;2,64;0,37;1,91;-;1,82;0,1;0,019;0;0,047;21,7;-;0,031;0,51;0,3;12;0,2;41,6;193;0,8;20,3;0,17;0;7;0;0,07;15,4;-;51,9;0,051;0,07;0,43;0,14;0,12;64;0
pinard, surgel‚, cru;24,9;104;91,6;2,87;0,89;0,49;0,6;0;2,7;0,075;0,029;0;0,098;159;-;0,12;2,28;3,4;50,5;0,53;47,7;398;0,1;46,5;0,49;0;7040;0;2,9;356;-;21,4;0,093;0,2;0,51;0,11;0,18;183;0
Petits pois, surgel‚s, crus;75,4;317;80,2;5,86;8,77;0,44;3,87;4,17;6,45;0,11;0,041;0;0,09;27,3;20;0,15;1,53;0,15;25,9;0,35;86,9;158;1,02;39;0,86;0;1230;0;0,025;49;-;20,8;0,27;0,099;1,72;0,43;0,08;87;0
Poivron vert, cru;19,8;82,9;93,8;0,74;2,8;0,24;2,18;0;1,75;0,057;0,008;0;0,0032;13,5;-;0,057;0,35;0,4;11,2;0,093;23,7;181;2,23;1,09;0,12;0;208;0;0,46;7,4;-;92,2;0,046;0,027;0,54;0,16;0,21;22,5;0
Poivron rouge, cru;29,4;124;91,9;1,12;4,5;0,35;4,13;0;1,9;0,055;0,0075;0;0,012;6,39;-;0,049;0,46;0,4;12,4;0,11;28,3;229;0,1;4,5;0,24;0;1620;0;2,24;4,9;-;159;0,052;0,09;1,29;0,29;0,3;67;0
Radis noir, cru;20,3;85,1;93,6;0,9;3,1;< 0,1;-;< 0,5;1,9;-;-;-;0,022;53,8;-;< 0,1;0,15;19;11;< 0,1;29;312;-;8,6;0,14;-;< 50;0;traces;-;-;6,4;< 0,05;< 0,05;1,2;0,21;0,06;58,4;-
Scarole, crue;14,5;59,8;93,4;1,33;0,3;0,2;0,23;0,067;3,1;0,048;0,004;0;0,048;52;-;0,099;0,83;0,4;15;0,42;28;314;0,6;22;0,79;0;1500;traces;traces;-;-;6,5;0,08;0,075;0,4;0,9;0,02;142;0
Betterave rouge, crue;50,6;213;86,7;1,74;9,1;0,24;6,76;-;2,55;0,038;0,029;0;0,15;22,1;-;0,098;0,7;0,5;19;0,46;38,1;328;0,2;60,5;0,54;0;20;0;0,06;0,2;-;6,45;0,028;0,043;0,27;0,15;0,059;100;0
chalote, crue;58,7;246;79,6;1,84;8,35;1,43;3,63;-;2,5;0,23;0,014;0;0,043;37;-;0,088;1,2;2;21;0,29;60;334;-;11;0,4;0;3;0;0,04;0,8;-;8;0,06;0,02;0,2;0,29;0,35;34;0
Mƒche, crue;19,2;80,1;93,7;2,3;0,6;0,4;-;< 0,5;2;0,073;0,16;0;0,032;49,3;52;< 0,1;2;< 10;29;0,53;52;385;< 4,18;12,7;0,35;0;1550;0;traces;-;-;12,5;0,06;0,12;0,34;0,28;0,05;59,1;0
L‚gumes, m‚lange surgel‚, crus;65,1;271;85,2;2,26;5,71;2,65;2,18;3,5;4,7;0,62;0,031;0;0,6;33;-;0,093;0,98;< 5;24;0,24;59;212;-;39;0,45;0;500;0;-;-;-;13,7;0,12;0,085;1,25;0,16;0,096;29;< 0,08
Champignon, chanterelle ou girolle, crue;33,1;137;88,7;2,28;2,3;0,78;1,87;-;4,23;0,5;-;0;0,016;8,33;50;0,39;3,52;3,3;10;0,28;53,5;449;0,9;5;0,84;0;-;5,3;0,06;-;-;5,5;0,053;0,31;5,44;1,08;0,042;2;0
Champignon, morille, crue;24,5;102;89,6;3,16;0,1;0,54;0,044;-;3,35;0,16;0,029;-;0,064;43;8;0,63;1,2;-;19;0,59;194;411;-;21;2,03;-;0;5,1;0,05;-;-;5;0,069;0,21;2,25;0,44;0,14;9;-
Ma‹s doux, en ‚pis, surgel‚, cru;97,4;411;73,3;3,36;17;1,19;3,78;-;2,65;0,19;0,34;0;0,01;4,18;-;0,15;0,59;0,5;30,3;0,25;108;276;4;4;1,05;0;61;0;0,37;0,35;-;6,9;0,11;0,082;1,72;0,39;0,18;36,5;0
Oseille, crue;23,4;97,8;93;1,89;1,6;0,65;1,54;0,055;1,8;0,1;0,04;0;0,0094;44;-;0,13;2,4;0,4;103;0,35;63;390;0,9;4;0,2;0;-;0;-;-;-;48;0,04;0,1;0,5;0,041;0,12;13;0
Champignon, pleurote, crue;25,5;107;89,2;3,06;1,5;0,36;0,71;0;2,4;0,062;0,031;0;0,034;5;-;0,24;1,17;-;18;0,11;120;420;-;13,5;0,77;0;29;0,7;0;0;-;4;0,13;0,35;4,96;1,29;0,11;38;0
Chou blanc, cru;28,4;119;90,5;1,25;4,25;0,2;-;-;2,3;0,041;0,004;0;0,024;50,9;-;0,019;0,31;0,7;10,9;0,24;30,1;240;0,77;6;0,15;0;-;0;0,02;76;-;45,8;0,049;0,036;0,4;0,21;0,16;77;0
Tomate verte, crue;24,8;105;93;1,2;4;0,2;4;-;1,1;0,028;0,03;0;0,033;13;-;0,09;0,51;-;10;0,1;28;204;-;13;0,07;0;346;0;0,38;10,1;-;23,4;0,06;0,04;0,5;0,5;0,081;9;0
